time,local_time,temperature
01/01/2019 00:00,01/01/2019 00:00,6.627
01/01/2019 01:00,01/01/2019 01:00,6.929
01/01/2019 02:00,01/01/2019 02:00,7.08
01/01/2019 03:00,01/01/2019 03:00,7.297
01/01/2019 04:00,01/01/2019 04:00,7.392
01/01/2019 05:00,01/01/2019 05:00,7.547
01/01/2019 06:00,01/01/2019 06:00,7.577
01/01/2019 07:00,01/01/2019 07:00,7.492
01/01/2019 08:00,01/01/2019 08:00,7.289
01/01/2019 09:00,01/01/2019 09:00,7.747
01/01/2019 10:00,01/01/2019 10:00,8.356
01/01/2019 11:00,01/01/2019 11:00,8.861
01/01/2019 12:00,01/01/2019 12:00,8.889
01/01/2019 13:00,01/01/2019 13:00,8.48
01/01/2019 14:00,01/01/2019 14:00,7.462
01/01/2019 15:00,01/01/2019 15:00,4.907
01/01/2019 16:00,01/01/2019 16:00,3.205
01/01/2019 17:00,01/01/2019 17:00,2.642
01/01/2019 18:00,01/01/2019 18:00,2.03
01/01/2019 19:00,01/01/2019 19:00,1.489
01/01/2019 20:00,01/01/2019 20:00,1.101
01/01/2019 21:00,01/01/2019 21:00,0.747
01/01/2019 22:00,01/01/2019 22:00,0.378
01/01/2019 23:00,01/01/2019 23:00,0.085
02/01/2019 00:00,02/01/2019 00:00,-0.659
02/01/2019 01:00,02/01/2019 01:00,-0.944
02/01/2019 02:00,02/01/2019 02:00,-0.994
02/01/2019 03:00,02/01/2019 03:00,-1.015
02/01/2019 04:00,02/01/2019 04:00,-1.243
02/01/2019 05:00,02/01/2019 05:00,-1.42
02/01/2019 06:00,02/01/2019 06:00,-1.647
02/01/2019 07:00,02/01/2019 07:00,-1.879
02/01/2019 08:00,02/01/2019 08:00,-1.776
02/01/2019 09:00,02/01/2019 09:00,0.34
02/01/2019 10:00,02/01/2019 10:00,1.975
02/01/2019 11:00,02/01/2019 11:00,3.131
02/01/2019 12:00,02/01/2019 12:00,4.466
02/01/2019 13:00,02/01/2019 13:00,4.835
02/01/2019 14:00,02/01/2019 14:00,4.167
02/01/2019 15:00,02/01/2019 15:00,2.451
02/01/2019 16:00,02/01/2019 16:00,1.603
02/01/2019 17:00,02/01/2019 17:00,1.463
02/01/2019 18:00,02/01/2019 18:00,1.376
02/01/2019 19:00,02/01/2019 19:00,1.317
02/01/2019 20:00,02/01/2019 20:00,1.223
02/01/2019 21:00,02/01/2019 21:00,1.031
02/01/2019 22:00,02/01/2019 22:00,0.729
02/01/2019 23:00,02/01/2019 23:00,0.407
03/01/2019 00:00,03/01/2019 00:00,0.152
03/01/2019 01:00,03/01/2019 01:00,-0.043
03/01/2019 02:00,03/01/2019 02:00,-0.231
03/01/2019 03:00,03/01/2019 03:00,-0.395
03/01/2019 04:00,03/01/2019 04:00,-0.632
03/01/2019 05:00,03/01/2019 05:00,-0.742
03/01/2019 06:00,03/01/2019 06:00,-0.782
03/01/2019 07:00,03/01/2019 07:00,-0.582
03/01/2019 08:00,03/01/2019 08:00,-0.268
03/01/2019 09:00,03/01/2019 09:00,0.827
03/01/2019 10:00,03/01/2019 10:00,1.785
03/01/2019 11:00,03/01/2019 11:00,3.017
03/01/2019 12:00,03/01/2019 12:00,3.598
03/01/2019 13:00,03/01/2019 13:00,3.534
03/01/2019 14:00,03/01/2019 14:00,2.991
03/01/2019 15:00,03/01/2019 15:00,1.756
03/01/2019 16:00,03/01/2019 16:00,0.821
03/01/2019 17:00,03/01/2019 17:00,0.141
03/01/2019 18:00,03/01/2019 18:00,-0.212
03/01/2019 19:00,03/01/2019 19:00,-0.402
03/01/2019 20:00,03/01/2019 20:00,-0.627
03/01/2019 21:00,03/01/2019 21:00,-0.812
03/01/2019 22:00,03/01/2019 22:00,-1.047
03/01/2019 23:00,03/01/2019 23:00,-1.748
04/01/2019 00:00,04/01/2019 00:00,-2.395
04/01/2019 01:00,04/01/2019 01:00,-2.529
04/01/2019 02:00,04/01/2019 02:00,-2.417
04/01/2019 03:00,04/01/2019 03:00,-2.623
04/01/2019 04:00,04/01/2019 04:00,-2.979
04/01/2019 05:00,04/01/2019 05:00,-3.336
04/01/2019 06:00,04/01/2019 06:00,-3.483
04/01/2019 07:00,04/01/2019 07:00,-3.62
04/01/2019 08:00,04/01/2019 08:00,-3.173
04/01/2019 09:00,04/01/2019 09:00,-1.575
04/01/2019 10:00,04/01/2019 10:00,-0.624
04/01/2019 11:00,04/01/2019 11:00,0.436
04/01/2019 12:00,04/01/2019 12:00,1.36
04/01/2019 13:00,04/01/2019 13:00,1.815
04/01/2019 14:00,04/01/2019 14:00,1.373
04/01/2019 15:00,04/01/2019 15:00,-0.333
04/01/2019 16:00,04/01/2019 16:00,-1.112
04/01/2019 17:00,04/01/2019 17:00,-1.145
04/01/2019 18:00,04/01/2019 18:00,-1.13
04/01/2019 19:00,04/01/2019 19:00,-0.732
04/01/2019 20:00,04/01/2019 20:00,-0.306
04/01/2019 21:00,04/01/2019 21:00,-0.026
04/01/2019 22:00,04/01/2019 22:00,0.039
04/01/2019 23:00,04/01/2019 23:00,0.058
05/01/2019 00:00,05/01/2019 00:00,0.104
05/01/2019 01:00,05/01/2019 01:00,0.074
05/01/2019 02:00,05/01/2019 02:00,-0.061
05/01/2019 03:00,05/01/2019 03:00,-0.144
05/01/2019 04:00,05/01/2019 04:00,-0.099
05/01/2019 05:00,05/01/2019 05:00,0.002
05/01/2019 06:00,05/01/2019 06:00,-0.035
05/01/2019 07:00,05/01/2019 07:00,-0.066
05/01/2019 08:00,05/01/2019 08:00,0.054
05/01/2019 09:00,05/01/2019 09:00,0.884
05/01/2019 10:00,05/01/2019 10:00,1.882
05/01/2019 11:00,05/01/2019 11:00,2.793
05/01/2019 12:00,05/01/2019 12:00,3.287
05/01/2019 13:00,05/01/2019 13:00,3.409
05/01/2019 14:00,05/01/2019 14:00,2.932
05/01/2019 15:00,05/01/2019 15:00,1.898
05/01/2019 16:00,05/01/2019 16:00,1.518
05/01/2019 17:00,05/01/2019 17:00,1.599
05/01/2019 18:00,05/01/2019 18:00,1.585
05/01/2019 19:00,05/01/2019 19:00,1.734
05/01/2019 20:00,05/01/2019 20:00,1.943
05/01/2019 21:00,05/01/2019 21:00,2.164
05/01/2019 22:00,05/01/2019 22:00,2.42
05/01/2019 23:00,05/01/2019 23:00,2.616
06/01/2019 00:00,06/01/2019 00:00,2.641
06/01/2019 01:00,06/01/2019 01:00,2.564
06/01/2019 02:00,06/01/2019 02:00,2.539
06/01/2019 03:00,06/01/2019 03:00,2.542
06/01/2019 04:00,06/01/2019 04:00,2.583
06/01/2019 05:00,06/01/2019 05:00,2.574
06/01/2019 06:00,06/01/2019 06:00,2.468
06/01/2019 07:00,06/01/2019 07:00,2.398
06/01/2019 08:00,06/01/2019 08:00,3.038
06/01/2019 09:00,06/01/2019 09:00,3.96
06/01/2019 10:00,06/01/2019 10:00,4.512
06/01/2019 11:00,06/01/2019 11:00,5.07
06/01/2019 12:00,06/01/2019 12:00,5.737
06/01/2019 13:00,06/01/2019 13:00,6.22
06/01/2019 14:00,06/01/2019 14:00,6.02
06/01/2019 15:00,06/01/2019 15:00,5.077
06/01/2019 16:00,06/01/2019 16:00,4.89
06/01/2019 17:00,06/01/2019 17:00,5.298
06/01/2019 18:00,06/01/2019 18:00,5.399
06/01/2019 19:00,06/01/2019 19:00,5.282
06/01/2019 20:00,06/01/2019 20:00,5.113
06/01/2019 21:00,06/01/2019 21:00,4.89
06/01/2019 22:00,06/01/2019 22:00,4.77
06/01/2019 23:00,06/01/2019 23:00,4.553
07/01/2019 00:00,07/01/2019 00:00,4.259
07/01/2019 01:00,07/01/2019 01:00,4.032
07/01/2019 02:00,07/01/2019 02:00,3.843
07/01/2019 03:00,07/01/2019 03:00,3.727
07/01/2019 04:00,07/01/2019 04:00,3.519
07/01/2019 05:00,07/01/2019 05:00,3.337
07/01/2019 06:00,07/01/2019 06:00,3.336
07/01/2019 07:00,07/01/2019 07:00,3.441
07/01/2019 08:00,07/01/2019 08:00,3.764
07/01/2019 09:00,07/01/2019 09:00,4.388
07/01/2019 10:00,07/01/2019 10:00,5.209
07/01/2019 11:00,07/01/2019 11:00,6.499
07/01/2019 12:00,07/01/2019 12:00,7.836
07/01/2019 13:00,07/01/2019 13:00,8.867
07/01/2019 14:00,07/01/2019 14:00,9.154
07/01/2019 15:00,07/01/2019 15:00,9.065
07/01/2019 16:00,07/01/2019 16:00,8.943
07/01/2019 17:00,07/01/2019 17:00,8.897
07/01/2019 18:00,07/01/2019 18:00,8.793
07/01/2019 19:00,07/01/2019 19:00,8.371
07/01/2019 20:00,07/01/2019 20:00,7.488
